1,85
1,3
1,88
1,2
1,77
1,0
1,7
1,53
1,36
1,8
1,6
1,4
5,72
5,27
5,11
5,44
5,75
5,87
5,35
5,57
5,73
5,59
5,0
5,7
5,53
5,36
5,8
5,6
5,4
5,67
5,82
5,29
5,13
9,15
9,28
9,61
9,54
9,45
9,38
9,62
9,41
9,49
9,99
9,93
9,21
9,81
9,11
9,69
9,71
9,14
9,40
9,66
9,34
9,51
9,23
9,84
9,55
9,97
9,58
9,48
9,16
9,96
9,37
9,91
9,68
9,52
9,12
9,65
9,0
9,7
9,53
9,36
9,8
9,6
9,4
9,43
9,78
9,17
9,70
9,10
18,46
18,63
18,47
18,56
18,64
18,39
18,19
18,22
18,74
18,24
18,20
18,33
18,83
18,76
18,60
18,31
18,98
18,50
18,0
18,7
18,53
18,36
18,8
18,6
18,4
18,25
18,32
18,42
18,26
18,30
62,45
62,38
62,41
77,2
79,80
79,72
79,86
79,94
79,89
79,95
79,92
79,63
79,47
79,56
79,64
79,39
79,85
79,83
79,76
82,78
90,99
90,93
90,21
90,81
90,11
97,84
97,55
